Mode,BusinessDate,DateTime,CardID,CardType,Card_SubType_Desc,Payment_Type,Fare_Type,Concession_Type,MI_Card_Group,VehicleID,ParentRoute,RouteID,StopID,StopNameShort,StopNameLong,StopType,SuburbName,PostCode,RegionName,LocalGovernmentArea,StatDivision,GPSLat,GPSLong
3,2015-10-19,2015-10-19T15:30:29,1531251,3,General Student Concession,Paid,Concession,Other Concession,Tertiary,618,112,17669,4483,Jacka Street - Stop 45,45-Jacka St/Gilbert Rd (Preston),Kerbside,Preston,3072,Melbourne,Darebin,Greater Metro,-37.732835,144.991024
3,2015-11-11,2015-11-11T15:10:07,8848550,67,Asylum Seekers,Paid,Concession,Other Concession,Other Concession,603,112,17669,4483,Jacka Street - Stop 45,45-Jacka St/Gilbert Rd (Preston),Kerbside,Preston,3072,Melbourne,Darebin,Greater Metro,-37.732835,144.991024
3,2015-10-12,2015-10-12T10:24:04,3076011,3,General Student Concession,Paid,Concession,Other Concession,Tertiary,607,112,17669,4483,Jacka Street - Stop 45,45-Jacka St/Gilbert Rd (Preston),Kerbside,Preston,3072,Melbourne,Darebin,Greater Metro,-37.732835,144.991024
3,2015-11-16,2015-11-16T17:17:49,7992710,44,Retired Employee Travel Pass,Free,Concession,Free Pass,Other,1949,112,17669,4484,West Preston - Stop 47,47-West Preston/Gilbert Rd (Preston),Safety Zone,Preston,3072,Melbourne,Darebin,Greater Metro,-37.729183,144.991589
3,2015-09-19,2015-09-19T09:37:27,7049310,62,Pensioner Concession Card holder PC,Paid,Concession,Other Concession,Other Concession,675,112,17669,4484,West Preston - Stop 47,47-West Preston/Gilbert Rd (Preston),Safety Zone,Preston,3072,Melbourne,Darebin,Greater Metro,-37.729183,144.991589
3,2015-09-01,2015-09-01T11:55:52,3059711,3,General Student Concession,Paid,Concession,Other Concession,Tertiary,655,112,17669,17895,St Vincents Plaza - Stop 12,12-St Vincents Plaza/Victoria Pde (East Melbourne),Platform,East Melbourne,3002,Melbourne,Melbourne,Greater Metro,-37.808277,144.976134
3,2015-09-07,2015-09-07T15:39:11,3525220,23,Vic HCC - Family Tax Benefit A,Paid,Concession,Other Concession,Other Concession,637,112,17669,17895,St Vincents Plaza - Stop 12,12-St Vincents Plaza/Victoria Pde (East Melbourne),Platform,East Melbourne,3002,Melbourne,Melbourne,Greater Metro,-37.808277,144.976134
3,2015-11-20,2015-11-20T17:46:05,3691720,25,PCC - Vic HCC - Newstart allowance,Paid,Concession,Other Concession,Other Concession,687,112,17669,17895,St Vincents Plaza - Stop 12,12-St Vincents Plaza/Victoria Pde (East Melbourne),Platform,East Melbourne,3002,Melbourne,Melbourne,Greater Metro,-37.808277,144.976134
3,2015-10-12,2015-10-12T08:10:58,10773540,64,Employee Travel Pass,Free,Concession,Free Pass,Other,552,112,17669,17895,St Vincents Plaza - Stop 12,12-St Vincents Plaza/Victoria Pde (East Melbourne),Platform,East Melbourne,3002,Melbourne,Melbourne,Greater Metro,-37.808277,144.976134
3,2015-10-22,2015-10-22T17:44:58,3525220,23,Vic HCC - Family Tax Benefit A,Paid,Concession,Other Concession,Other Concession,606,112,17669,17895,St Vincents Plaza - Stop 12,12-St Vincents Plaza/Victoria Pde (East Melbourne),Platform,East Melbourne,3002,Melbourne,Melbourne,Greater Metro,-37.808277,144.976134
3,2015-09-30,2015-09-30T13:29:04,13451530,64,Employee Travel Pass,Free,Concession,Free Pass,Other,652,112,17669,17898,Spring Street - Stop 8,8-Spring St/Collins St (Melbourne City),Platform,Melbourne City,3000,Melbourne,Melbourne,Greater Metro,-37.813554,144.973369
3,2015-09-30,2015-09-30T10:01:47,12929470,70,International Student,Paid,Concession,International Student,Tertiary,701,112,17669,17901,Town Hall - Stop 6,6-Melbourne Town Hall/Collins St (Melbourne City),Platform,Melbourne City,3000,Melbourne,Melbourne,Greater Metro,-37.815691,144.966127
3,2015-07-31,2015-07-31T09:36:39,11486480,57,Access Travel Pass (ATP),Free,Concession,Free Pass,Other,599,112,17669,17901,Town Hall - Stop 6,6-Melbourne Town Hall/Collins St (Melbourne City),Platform,Melbourne City,3000,Melbourne,Melbourne,Greater Metro,-37.815691,144.966127
3,2015-11-26,2015-11-26T21:32:50,2811650,3,General Student Concession,Paid,Concession,Other Concession,Tertiary,679,112,17669,17902,Elizabeth Street - Stop 5,5-Elizabeth St/Collins St (Melbourne City),Platform,Melbourne City,3000,Melbourne,Melbourne,Greater Metro,-37.816344,144.963855
3,2015-10-20,2015-10-20T13:13:22,7517021,44,Retired Employee Travel Pass,Free,Concession,Free Pass,Other,568,112,17669,17902,Elizabeth Street - Stop 5,5-Elizabeth St/Collins St (Melbourne City),Platform,Melbourne City,3000,Melbourne,Melbourne,Greater Metro,-37.816344,144.963855
3,2015-07-31,2015-07-31T09:42:48,11486480,57,Access Travel Pass (ATP),Free,Concession,Free Pass,Other,599,112,17669,17902,Elizabeth Street - Stop 5,5-Elizabeth St/Collins St (Melbourne City),Platform,Melbourne City,3000,Melbourne,Melbourne,Greater Metro,-37.816344,144.963855
3,2015-10-20,2015-10-20T16:32:40,10905310,3,General Student Concession,Paid,Concession,Other Concession,Tertiary,568,112,17669,17902,Elizabeth Street - Stop 5,5-Elizabeth St/Collins St (Melbourne City),Platform,Melbourne City,3000,Melbourne,Melbourne,Greater Metro,-37.816344,144.963855
3,2015-10-16,2015-10-16T13:06:34,8518150,67,Asylum Seekers,Paid,Concession,Other Concession,Other Concession,612,112,17669,17902,Elizabeth Street - Stop 5,5-Elizabeth St/Collins St (Melbourne City),Platform,Melbourne City,3000,Melbourne,Melbourne,Greater Metro,-37.816344,144.963855
3,2015-09-04,2015-09-04T16:55:07,7565141,44,Retired Employee Travel Pass,Free,Concession,Free Pass,Other,551,112,17669,17902,Elizabeth Street - Stop 5,5-Elizabeth St/Collins St (Melbourne City),Platform,Melbourne City,3000,Melbourne,Melbourne,Greater Metro,-37.816344,144.963855
3,2015-08-22,2015-08-22T11:11:53,7834050,62,Pensioner Concession Card holder PC,Paid,Concession,Other Concession,Other Concession,606,112,17669,17902,Elizabeth Street - Stop 5,5-Elizabeth St/Collins St (Melbourne City),Platform,Melbourne City,3000,Melbourne,Melbourne,Greater Metro,-37.816344,144.963855
3,2015-10-16,2015-10-16T09:23:41,8518150,67,Asylum Seekers,Paid,Concession,Other Concession,Other Concession,612,112,17669,17902,Elizabeth Street - Stop 5,5-Elizabeth St/Collins St (Melbourne City),Platform,Melbourne City,3000,Melbourne,Melbourne,Greater Metro,-37.816344,144.963855
3,2015-08-25,2015-08-25T12:54:57,7423551,45,Retired Employee Dependent Travel Pass,Free,Concession,Free Pass,Other,652,112,17669,17902,Elizabeth Street - Stop 5,5-Elizabeth St/Collins St (Melbourne City),Platform,Melbourne City,3000,Melbourne,Melbourne,Greater Metro,-37.816344,144.963855
3,2015-11-15,2015-11-15T15:54:21,2959630,44,Retired Employee Travel Pass,Free,Concession,Free Pass,Other,652,112,17669,17902,Elizabeth Street - Stop 5,5-Elizabeth St/Collins St (Melbourne City),Platform,Melbourne City,3000,Melbourne,Melbourne,Greater Metro,-37.816344,144.963855
3,2015-09-30,2015-09-30T10:19:36,8436730,62,Pensioner Concession Card holder PC,Paid,Concession,Other Concession,Other Concession,701,112,17669,17902,Elizabeth Street - Stop 5,5-Elizabeth St/Collins St (Melbourne City),Platform,Melbourne City,3000,Melbourne,Melbourne,Greater Metro,-37.816344,144.963855
3,2015-11-16,2015-11-16T16:46:21,7398920,45,Retired Employee Dependent Travel Pass,Free,Concession,Free Pass,Other,551,112,17669,17902,Elizabeth Street - Stop 5,5-Elizabeth St/Collins St (Melbourne City),Platform,Melbourne City,3000,Melbourne,Melbourne,Greater Metro,-37.816344,144.963855
3,2015-08-10,2015-08-10T11:05:39,7834050,62,Pensioner Concession Card holder PC,Paid,Concession,Other Concession,Other Concession,612,112,17669,17902,Elizabeth Street - Stop 5,5-Elizabeth St/Collins St (Melbourne City),Platform,Melbourne City,3000,Melbourne,Melbourne,Greater Metro,-37.816344,144.963855
3,2015-11-09,2015-11-09T13:40:55,650260,37,"Vision Impaired ",Free,Concession,Free Pass,Other,632,112,17669,17902,Elizabeth Street - Stop 5,5-Elizabeth St/Collins St (Melbourne City),Platform,Melbourne City,3000,Melbourne,Melbourne,Greater Metro,-37.816344,144.963855
3,2015-09-08,2015-09-08T19:41:18,12858030,70,International Student,Paid,Concession,International Student,Tertiary,643,112,17669,17902,Elizabeth Street - Stop 5,5-Elizabeth St/Collins St (Melbourne City),Platform,Melbourne City,3000,Melbourne,Melbourne,Greater Metro,-37.816344,144.963855
3,2015-09-30,2015-09-30T10:31:25,2667481,62,Pensioner Concession Card holder PC,Paid,Concession,Other Concession,Other Concession,701,112,17669,17902,Elizabeth Street - Stop 5,5-Elizabeth St/Collins St (Melbourne City),Platform,Melbourne City,3000,Melbourne,Melbourne,Greater Metro,-37.816344,144.963855
3,2015-11-11,2015-11-11T16:06:50,1151421,60,Bus drivers (Regional and Metropolitan (AB),Free,Concession,Free Pass,Other,603,112,17669,17902,Elizabeth Street - Stop 5,5-Elizabeth St/Collins St (Melbourne City),Platform,Melbourne City,3000,Melbourne,Melbourne,Greater Metro,-37.816344,144.963855
3,2015-10-20,2015-10-20T15:58:38,10946661,24,"Vic HCC - Low Income ",Paid,Concession,Other Concession,Other Concession,613,112,17669,17902,Elizabeth Street - Stop 5,5-Elizabeth St/Collins St (Melbourne City),Platform,Melbourne City,3000,Melbourne,Melbourne,Greater Metro,-37.816344,144.963855
3,2015-08-18,2015-08-18T16:37:22,6587140,1,Full Fare,Paid,Full Fare,Full Fare,Full Fare,652,112,17669,22559,Scotchmer Street - Stop 22,22-Scotchmer St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.783217,144.984023
3,2015-08-08,2015-08-08T14:19:50,11500581,1,Full Fare,Paid,Full Fare,Full Fare,Full Fare,618,112,17669,22559,Scotchmer Street - Stop 22,22-Scotchmer St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.783217,144.984023
3,2015-10-23,2015-10-23T08:17:12,14049261,1,Full Fare,Paid,Full Fare,Full Fare,Full Fare,585,112,17669,22559,Scotchmer Street - Stop 22,22-Scotchmer St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.783217,144.984023
3,2015-10-09,2015-10-09T18:37:05,8114930,1,Full Fare,Paid,Full Fare,Full Fare,Full Fare,599,112,17669,22559,Scotchmer Street - Stop 22,22-Scotchmer St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.783217,144.984023
3,2015-09-30,2015-09-30T11:16:37,7710991,1,Full Fare,Paid,Full Fare,Full Fare,Full Fare,652,112,17669,22559,Scotchmer Street - Stop 22,22-Scotchmer St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.783217,144.984023
3,2015-11-13,2015-11-13T07:04:08,7710991,1,Full Fare,Paid,Full Fare,Full Fare,Full Fare,558,112,17669,22559,Scotchmer Street - Stop 22,22-Scotchmer St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.783217,144.984023
3,2015-09-01,2015-09-01T11:38:14,11064910,1,Full Fare,Paid,Full Fare,Full Fare,Full Fare,655,112,17669,22559,Scotchmer Street - Stop 22,22-Scotchmer St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.783217,144.984023
3,2015-10-19,2015-10-19T12:57:32,14354520,1,Full Fare,Paid,Full Fare,Full Fare,Full Fare,627,112,17669,22559,Scotchmer Street - Stop 22,22-Scotchmer St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.783217,144.984023
3,2015-09-13,2015-09-13T15:05:54,13082340,1,Full Fare,Paid,Full Fare,Full Fare,Full Fare,687,112,17669,22559,Scotchmer Street - Stop 22,22-Scotchmer St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.783217,144.984023
3,2015-10-01,2015-10-01T11:16:08,14467061,1,Full Fare,Paid,Full Fare,Full Fare,Full Fare,598,112,17669,22559,Scotchmer Street - Stop 22,22-Scotchmer St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.783217,144.984023
3,2015-10-19,2015-10-19T08:47:14,3997431,1,Full Fare,Paid,Full Fare,Full Fare,Full Fare,617,112,17669,22559,Scotchmer Street - Stop 22,22-Scotchmer St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.783217,144.984023
3,2015-08-10,2015-08-10T08:19:35,7406300,1,Full Fare,Paid,Full Fare,Full Fare,Full Fare,612,112,17669,22559,Scotchmer Street - Stop 22,22-Scotchmer St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.783217,144.984023
3,2015-08-31,2015-08-31T07:35:49,12996830,1,Full Fare,Paid,Full Fare,Full Fare,Full Fare,637,112,17669,22559,Scotchmer Street - Stop 22,22-Scotchmer St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.783217,144.984023
3,2015-09-30,2015-09-30T13:12:28,4718550,1,Full Fare,Paid,Full Fare,Full Fare,Full Fare,652,112,17669,22559,Scotchmer Street - Stop 22,22-Scotchmer St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.783217,144.984023
3,2015-10-09,2015-10-10T00:36:53,11739451,1,Full Fare,Paid,Full Fare,Full Fare,Full Fare,604,112,17669,22559,Scotchmer Street - Stop 22,22-Scotchmer St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.783217,144.984023
3,2015-09-01,2015-09-01T08:29:26,4375481,1,Full Fare,Paid,Full Fare,Full Fare,Full Fare,594,112,17669,22559,Scotchmer Street - Stop 22,22-Scotchmer St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.783217,144.984023
3,2015-10-22,2015-10-22T08:37:02,11237150,1,Full Fare,Paid,Full Fare,Full Fare,Full Fare,638,112,17669,22559,Scotchmer Street - Stop 22,22-Scotchmer St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.783217,144.984023
3,2015-11-18,2015-11-18T14:16:16,8844151,1,Full Fare,Paid,Full Fare,Full Fare,Full Fare,693,112,17669,22559,Scotchmer Street - Stop 22,22-Scotchmer St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.783217,144.984023
3,2015-11-07,2015-11-07T21:06:36,12707350,1,Full Fare,Paid,Full Fare,Full Fare,Full Fare,679,112,17669,22559,Scotchmer Street - Stop 22,22-Scotchmer St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.783217,144.984023
3,2015-10-09,2015-10-09T07:01:58,13923651,1,Full Fare,Paid,Full Fare,Full Fare,Full Fare,703,112,17669,22559,Scotchmer Street - Stop 22,22-Scotchmer St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.783217,144.984023
3,2015-09-01,2015-09-01T08:29:23,14037410,1,Full Fare,Paid,Full Fare,Full Fare,Full Fare,594,112,17669,22559,Scotchmer Street - Stop 22,22-Scotchmer St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.783217,144.984023
3,2015-09-01,2015-09-01T08:29:29,13039561,1,Full Fare,Paid,Full Fare,Full Fare,Full Fare,594,112,17669,22559,Scotchmer Street - Stop 22,22-Scotchmer St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.783217,144.984023
3,2015-10-07,2015-10-07T10:02:58,10441131,1,Full Fare,Paid,Full Fare,Full Fare,Full Fare,655,112,17669,22559,Scotchmer Street - Stop 22,22-Scotchmer St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.783217,144.984023
3,2015-11-15,2015-11-15T15:10:34,14878870,1,Full Fare,Paid,Full Fare,Full Fare,Full Fare,652,112,17669,22559,Scotchmer Street - Stop 22,22-Scotchmer St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.783217,144.984023
3,2015-11-11,2015-11-11T08:45:04,2459321,1,Full Fare,Paid,Full Fare,Full Fare,Full Fare,613,112,17669,22559,Scotchmer Street - Stop 22,22-Scotchmer St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.783217,144.984023
3,2015-09-12,2015-09-12T17:54:55,12229941,1,Full Fare,Paid,Full Fare,Full Fare,Full Fare,548,112,17669,22559,Scotchmer Street - Stop 22,22-Scotchmer St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.783217,144.984023
3,2015-11-27,2015-11-27T09:32:52,2962360,1,Full Fare,Paid,Full Fare,Full Fare,Full Fare,1926,112,17669,22559,Scotchmer Street - Stop 22,22-Scotchmer St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.783217,144.984023
3,2015-09-21,2015-09-21T11:14:20,13381810,1,Full Fare,Paid,Full Fare,Full Fare,Full Fare,645,112,17669,22559,Scotchmer Street - Stop 22,22-Scotchmer St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.783217,144.984023
3,2015-10-15,2015-10-15T12:10:57,14037410,1,Full Fare,Paid,Full Fare,Full Fare,Full Fare,690,112,17669,22559,Scotchmer Street - Stop 22,22-Scotchmer St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.783217,144.984023
3,2015-09-24,2015-09-24T07:37:15,13548290,1,Full Fare,Paid,Full Fare,Full Fare,Full Fare,703,112,17669,22559,Scotchmer Street - Stop 22,22-Scotchmer St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.783217,144.984023
3,2015-10-09,2015-10-09T17:46:58,3575051,1,Full Fare,Paid,Full Fare,Full Fare,Full Fare,544,112,17669,22559,Scotchmer Street - Stop 22,22-Scotchmer St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.783217,144.984023
3,2015-08-15,2015-08-15T07:43:27,6686541,1,Full Fare,Paid,Full Fare,Full Fare,Full Fare,644,112,17669,22559,Scotchmer Street - Stop 22,22-Scotchmer St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.783217,144.984023
3,2015-09-19,2015-09-19T17:58:37,13407211,1,Full Fare,Paid,Full Fare,Full Fare,Full Fare,675,112,17669,22559,Scotchmer Street - Stop 22,22-Scotchmer St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.783217,144.984023
3,2015-08-15,2015-08-15T19:45:02,7710991,1,Full Fare,Paid,Full Fare,Full Fare,Full Fare,535,112,17669,22559,Scotchmer Street - Stop 22,22-Scotchmer St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.783217,144.984023
3,2015-10-23,2015-10-23T08:17:10,11332070,1,Full Fare,Paid,Full Fare,Full Fare,Full Fare,585,112,17669,22559,Scotchmer Street - Stop 22,22-Scotchmer St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.783217,144.984023
3,2015-10-26,2015-10-26T16:08:40,9320321,1,Full Fare,Paid,Full Fare,Full Fare,Full Fare,600,112,17669,22559,Scotchmer Street - Stop 22,22-Scotchmer St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.783217,144.984023
3,2015-10-12,2015-10-12T11:07:08,13699191,1,Full Fare,Paid,Full Fare,Full Fare,Full Fare,551,112,17669,22559,Scotchmer Street - Stop 22,22-Scotchmer St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.783217,144.984023
3,2015-10-07,2015-10-07T07:59:18,11332070,1,Full Fare,Paid,Full Fare,Full Fare,Full Fare,655,112,17669,22559,Scotchmer Street - Stop 22,22-Scotchmer St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.783217,144.984023
3,2015-11-09,2015-11-09T12:38:41,3825591,1,Full Fare,Paid,Full Fare,Full Fare,Full Fare,632,112,17669,22559,Scotchmer Street - Stop 22,22-Scotchmer St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.783217,144.984023
3,2015-11-14,2015-11-14T22:11:27,12773721,1,Full Fare,Paid,Full Fare,Full Fare,Full Fare,652,112,17669,22559,Scotchmer Street - Stop 22,22-Scotchmer St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.783217,144.984023
3,2015-09-11,2015-09-11T15:11:25,10752701,1,Full Fare,Paid,Full Fare,Full Fare,Full Fare,603,112,17669,22559,Scotchmer Street - Stop 22,22-Scotchmer St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.783217,144.984023
3,2015-10-03,2015-10-03T23:24:47,13801441,1,Full Fare,Paid,Full Fare,Full Fare,Full Fare,620,112,17669,22559,Scotchmer Street - Stop 22,22-Scotchmer St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.783217,144.984023
3,2015-10-01,2015-10-01T18:16:42,2828131,1,Full Fare,Paid,Full Fare,Full Fare,Full Fare,687,112,17669,22559,Scotchmer Street - Stop 22,22-Scotchmer St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.783217,144.984023
3,2015-11-18,2015-11-18T12:23:38,7710991,1,Full Fare,Paid,Full Fare,Full Fare,Full Fare,693,112,17669,22559,Scotchmer Street - Stop 22,22-Scotchmer St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.783217,144.984023
3,2015-09-07,2015-09-07T15:24:01,12305910,1,Full Fare,Paid,Full Fare,Full Fare,Full Fare,637,112,17669,22559,Scotchmer Street - Stop 22,22-Scotchmer St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.783217,144.984023
3,2015-11-14,2015-11-14T09:31:31,12115711,1,Full Fare,Paid,Full Fare,Full Fare,Full Fare,558,112,17669,22559,Scotchmer Street - Stop 22,22-Scotchmer St/St Georges Rd (Fitzroy North),Kerbside,Fitzroy North,3068,Melbourne,Yarra,Greater Metro,-37.783217,144.984023
